Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
370.96,51344,420.06,63945,416.54,76969,393.82,71413,482.5,29283,517.44,60626
370.16,52049,418.56,65176,415.65,77938,393.21,72476,481.67,29531,516.5,61231
369.37,52763,417.08,66434,414.76,78909,392.6,73557,480.83,29781,515.55,61836
368.57,53485,415.6,67720,413.87,79883,391.99,74656,480,30034,514.59,62441
367.78,54215,414.13,69034,412.98,80859,391.39,75774,479.16,30289,513.64,63047
366.98,54953,412.67,70377,412.08,81838,390.78,76911,478.32,30547,512.68,63653
366.19,55700,411.23,71750,411.19,82818,390.18,78067,477.49,30807,511.72,64259
365.4,56455,409.79,73153,410.3,83800,389.58,79243,476.64,31069,510.76,64866
364.61,57219,408.37,74588,409.4,84783,388.98,80438,475.8,31334,509.8,65472
363.82,57991,406.95,76054,408.51,85767,388.38,81654,474.96,31602,508.83,66078
363.04,58771,405.55,77554,407.61,86753,387.79,82891,474.11,31872,507.86,66684
362.25,59561,404.16,79088,406.72,87739,387.2,84149,473.27,32144,506.89,67290
361.47,60358,402.77,80656,405.82,88726,386.6,85429,472.42,32419,505.92,67895
360.69,61165,401.4,82260,404.92,89714,386.01,86730,471.57,32697,504.94,68500
359.91,61980,400.04,83900,404.02,90715,385.42,88055,470.72,32977,503.96,69105
359.13,62805,398.68,85578,403.11,91731,384.84,89402,469.87,33260,502.97,69709
358.35,63638,397.34,87295,402.21,92762,384.25,90772,469.01,33546,501.98,70312
357.57,64480,396.01,89051,401.3,93809,383.67,92166,468.16,33834,500.99,70915
356.79,65331,394.69,90847,400.4,94872,383.09,93585,467.3,34125,500,71517
356.02,66190,393.38,92686,399.49,95951,382.51,95029,466.45,34419,499,72118
355.24,67059,392.08,94567,398.58,97047,381.93,96497,465.59,34715,498,72719
354.47,67938,390.78,96492,397.67,98159,381.35,97992,464.73,35014,497,73318
353.7,68825,389.5,98463,396.76,99288,380.77,99513,463.87,35317,495.99,73916
352.93,69721,388.23,1.0048e+05,395.85,1.0044e+05,380.2,1.0106e+05,463,35622,494.98,74514
352.16,70627,386.97,1.0254e+05,394.94,1.016e+05,379.63,1.0264e+05,462.14,35930,493.96,75110
351.39,71542,385.72,1.0466e+05,394.03,1.0278e+05,379.06,1.0424e+05,461.27,36241,492.94,75705
350.62,72466,384.48,1.0682e+05,393.11,1.0398e+05,378.49,1.0587e+05,460.41,36556,491.92,76299
349.85,73399,383.25,1.0904e+05,392.2,1.052e+05,377.93,1.0753e+05,459.54,36874,490.89,76891
349.08,74342,382.03,1.1131e+05,391.28,1.0644e+05,377.36,1.0922e+05,458.67,37196,489.85,77482
348.32,75295,380.82,1.1363e+05,390.37,1.077e+05,376.8,1.1095e+05,457.8,37520,488.82,78072
347.55,76256,379.62,1.1601e+05,389.45,1.0897e+05,376.24,1.127e+05,456.93,37848,487.78,78660
346.79,77228,378.43,1.1845e+05,388.53,1.1027e+05,375.68,1.1448e+05,456.05,38180,486.73,79247
346.02,78208,377.25,1.2095e+05,387.61,1.1159e+05,375.12,1.163e+05,455.18,38515,485.68,79832
345.26,79199,376.07,1.2351e+05,386.7,1.1292e+05,374.57,1.1815e+05,454.31,38853,484.63,80416
344.5,80199,374.91,1.2613e+05,385.78,1.1428e+05,374.02,1.2003e+05,453.43,39195,483.57,80998
343.74,81209,373.76,1.2881e+05,384.86,1.1566e+05,373.46,1.2195e+05,452.55,39540,482.5,81578
342.98,82228,372.62,1.3157e+05,383.94,1.1706e+05,372.92,1.239e+05,451.67,39889,481.43,82156
342.22,83257,371.49,1.3439e+05,383.02,1.1849e+05,372.37,1.2589e+05,450.79,40242,480.36,82733
341.46,84297,370.37,1.3728e+05,382.1,1.1993e+05,371.82,1.2792e+05,449.91,40598,479.28,83314
340.7,85349,369.26,1.4025e+05,381.18,1.214e+05,371.28,1.2997e+05,449.03,40958,478.2,83908
339.94,86413,368.15,1.4329e+05,380.26,1.2289e+05,370.74,1.3207e+05,448.15,41322,477.11,84516
339.18,87490,367.06,1.4641e+05,379.34,1.2441e+05,370.2,1.342e+05,447.27,41690,476.01,85139
338.42,88580,365.98,1.4961e+05,378.42,1.2595e+05,369.66,1.3636e+05,446.38,42061,474.92,85777
337.67,89683,364.91,1.5289e+05,377.5,1.2751e+05,369.13,1.3856e+05,445.5,42437,473.82,86429
336.91,90799,363.84,1.5625e+05,376.58,1.291e+05,368.59,1.408e+05,444.61,42816,472.71,87096
336.15,91928,362.79,1.597e+05,375.66,1.3072e+05,368.06,1.4307e+05,443.72,43199,471.6,87779
