Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
236.53,4.5916e+05,284.46,3.2167e+06,268.73,1.1373e+06,312.3,1.4694e+06,320.36,1.6625e+05,332.72,6.7215e+05
235.82,4.6427e+05,284.12,3.2705e+06,268.16,1.1563e+06,312.01,1.4965e+06,319.5,1.6808e+05,332.04,6.8447e+05
235.11,4.6942e+05,283.77,3.3249e+06,267.59,1.1755e+06,311.72,1.5241e+06,318.65,1.6994e+05,331.37,6.9698e+05
234.41,4.7463e+05,283.42,3.38e+06,267.03,1.1951e+06,311.43,1.5522e+06,317.79,1.7182e+05,330.7,7.0967e+05
233.7,4.7989e+05,283.08,3.4358e+06,266.46,1.2149e+06,311.14,1.5809e+06,316.94,1.7372e+05,330.04,7.2254e+05
232.99,4.852e+05,282.74,3.4924e+06,265.9,1.235e+06,310.86,1.6102e+06,316.08,1.7565e+05,329.38,7.3561e+05
232.28,4.9057e+05,282.39,3.5503e+06,265.34,1.2553e+06,310.57,1.6401e+06,315.23,1.776e+05,328.72,7.4886e+05
231.57,4.9599e+05,282.05,3.6093e+06,264.78,1.276e+06,310.29,1.6705e+06,314.38,1.7958e+05,328.07,7.623e+05
230.87,5.0146e+05,281.71,3.6696e+06,264.22,1.2969e+06,310.01,1.7016e+06,313.54,1.8158e+05,327.42,7.7593e+05
230.16,5.0699e+05,281.37,3.7311e+06,263.66,1.3182e+06,309.73,1.7333e+06,312.69,1.8361e+05,326.77,7.8975e+05
229.45,5.1257e+05,281.03,3.7939e+06,263.11,1.3397e+06,309.46,1.7656e+06,311.85,1.8567e+05,326.13,8.0376e+05
228.74,5.1821e+05,280.69,3.858e+06,262.56,1.3615e+06,309.18,1.7986e+06,311,1.8776e+05,325.49,8.1795e+05
228.04,5.239e+05,280.35,3.9235e+06,262.01,1.3836e+06,308.91,1.8322e+06,310.16,1.8987e+05,324.86,8.3234e+05
